_id,objectid,fid_blockg,statefp10,countyfp10,tractce10,blkgrpce10,geoid10,namelsad10,mtfcc10,funcstat10,aland10,awater10,intptlat10,intptlon10,shape_leng,fid_neighb,pghdb_sde_neighborhood_2010_area,perimeter,neighbor,neighbor_i,hood,hood_no,acres,sqmiles,dpwdiv,unique_id,sectors,shape_le_1,shape_ar_1,page_number,plannerassign,globalid,created_user,created_date,last_edited_user,last_edited_date,temp,shape_area,shape_length
2765,26,221,42,003,562900,2,420035629002,Block Group 2,G5030,S,4488597,20843,+40.3937604,-079.9499181,56370.8529134,70,48800708,87456.39013128,91,2173,Hays,38,1116.86260649,1.74509782,4,24,8,56384.6690814,48800707.2454,15,Thomas Scharff,b8f533f0-db52-404f-afea-e280bddfbd96,SDE,2020-08-14T12:57:28,SDE,2020-08-14T13:00:04,,48650556.7489319,55129.9005703098
2766,27,14,42,003,562400,5,420035624005,Block Group 5,G5030,S,138709,0,+40.4197360,-079.9991617,6015.55620698,13,11723429,198927.41614216,81,2163,Beltzhoover,9,265.85583068,0.41539974,4,113,6,13432.4122172,11723428.2416,15,Thomas Scharff,aaae03dc-1966-4b81-b9dd-55305b44ac94,SDE,2020-08-14T12:57:28,SDE,2020-08-14T12:58:45,,11580679.9787903,13436.2438237929
2767,28,48,42,003,151700,4,420031517004,Block Group 4,G5030,S,157178,0,+40.4216327,-079.9353993,5794.40171972,25,21551120,136797.97928478,75,2157,Greenfield,37,495.63876528,0.77443557,3,21,9,22518.2704223,21551119.9814,15,Ose Akinlotan,7e0b96af-f08c-4e73-b6e3-938113d9303d,SDE,2020-08-14T12:57:28,SDE,2020-08-14T13:00:02,,21590021.1622314,22991.4286871476
2768,29,325,42,003,562800,1,420035628001,Block Group 1,G5030,S,1122222,0,+40.4202222,-080.0745718,18432.5428099,81,12049543,198927.41614216,78,2160,East Carnegie,27,277.41123706,0.43345506,5,94,4,18475.5630563,12049542.7323,15,Thomas Scharff,4158f5a0-e271-4577-a9a4-c96e7da3b7d0,SDE,2020-08-14T12:57:28,SDE,2020-08-14T12:59:32,,12084033.4784851,18528.1741733436
2769,30,119,42,003,563200,1,420035632001,Block Group 1,G5030,S,316619,138447,+40.4496580,-079.9981098,9418.51640882,46,8455805,80995.80627227,51,2133,North Shore,57,190.09475432,0.29702305,1,18,16,17994.0875462,8455804.95408,15,Stephanie Joy Everett,e729facf-e014-477d-8fec-b4ec4db47b00,SDE,2020-08-14T12:57:28,SDE,2020-08-14T13:00:52,,8280525.38677979,18001.4249785415
2770,31,19,42,003,180300,3,420031803003,Block Group 3,G5030,S,140530,0,+40.4191918,-079.9927314,6293.7919057,16,8221419.5,198927.41614216,76,2158,Allentown,3,190.07889133,0.29699827,4,23,6,16208.5648002,8221419.7352,15,Thomas Scharff,39edd83e-9196-42e0-af7a-33e64c2ac28e,SDE,2020-08-14T12:57:28,SDE,2020-08-14T12:58:22,,8279836.50708008,15803.1934760859
2771,32,120,42,003,562400,1,420035624001,Block Group 1,G5030,S,818084,0,+40.4077250,-080.0012233,15887.0065035,47,8738354,198927.41614216,86,2168,Bon Air,12,201.49147968,0.31483044,4,57,6,15889.5671438,8738354.36946,15,Thomas Scharff,d4d1eaaf-472c-4f97-8cc6-37be23017035,SDE,2020-08-14T12:57:28,SDE,2020-08-14T12:58:53,,8776968.84005737,15655.9205783783
2772,33,152,42,003,562700,1,420035627001,Block Group 1,G5030,S,374415,0,+40.4507843,-080.0144032,8746.40518879,56,3938870.2,80995.80627227,49,2131,Allegheny West,2,92.66835251,0.1447943,1,21,3,8658.04205132,3938870.37673,15,Stephanie Joy Everett,bf2fe94e-5682-4aac-bded-a8dc3a2b1f88,SDE,2020-08-14T12:57:28,SDE,2020-08-14T12:58:18,,4036633.42767334,8748.10722108219
2773,34,184,42,003,281400,1,420032814001,Block Group 1,G5030,S,348105,0,+40.4496310,-080.0569283,8486.84811855,62,21011160,198927.41614216,52,2134,Crafton Heights,23,480.84267305,0.75131668,5,23,4,21289.3838091,21011159.5373,15,Thomas Scharff,47874d9d-dda9-4b01-bb76-339dd49f6e3a,SDE,2020-08-14T12:57:28,SDE,2020-08-14T12:59:20,,20945506.8248291,21207.3983856586
2774,35,89,42,003,210700,2,420032107002,Block Group 2,G5030,S,359658,0,+40.4578695,-080.0264589,9100.227534,40,7785965.5,80995.80627227,34,2116,Manchester,49,178.5910782,0.27904856,1,23,3,12528.4419932,7785965.49733,15,Stephanie Joy Everett,5dedc9e9-339f-44cf-8d65-b78b300074c9,SDE,2020-08-14T12:57:28,SDE,2020-08-14T13:00:32,,7779427.35620117,12521.7707551084
